rank,gid,role,priority_score,why
1,100000002398779100,consolidator,0.752876,"Исходных клиентов с путями до узла — 2; плательщиков — 13; вход 1 095 690 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
2,100000004015047100,consolidator,0.750366,"Исходных клиентов с путями до узла — 3; плательщиков — 9; вход 919 104 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
3,100000003115284100,consolidator,0.681863,"Исходных клиентов с путями до узла — 2; плательщиков — 8; вход 2 160 500 ₸. Крупнейшему получателю отправлено 59,4% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
4,100000006889963100,consolidator,0.665475,"Исходных клиентов с путями до узла — 2; плательщиков — 4; вход 1 431 000 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
5,100000007055802100,consolidator,0.660396,"Исходных клиентов с путями до узла — 1; плательщиков — 6; вход 2 024 999 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
6,100000002838861100,consolidator,0.646004,"Исходных клиентов с путями до узла — 2; плательщиков — 5; вход 554 523,95 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
7,100000005610717100,consolidator,0.644854,"Исходных клиентов с путями до узла — 3; плательщиков — 4; вход 484 500 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
8,100000005830339100,consolidator,0.63841,"Исходных клиентов с путями до узла — 2; плательщиков — 5; вход 476 341 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
9,100000008560717100,consolidator,0.61639,"Исходных клиентов с путями до узла — 1; плательщиков — 7; вход 529 000 ₸. Крупнейшему получателю отправлено 100% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
10,100000007138613100,consolidator,0.614462,"Исходных клиентов с путями до узла — 3; плательщиков — 3; вход 1 002 000 ₸. Крупнейшему получателю отправлено 80,4% исходящей суммы. Веса приоритета: пути 35%, плательщики 30%, вход 20%, концентрация пересылки 15%. Не исходный клиент и не граница обхода: коэффициент 1. Пути не доказывают происхождение конкретных денег."
